"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 17 11:56:05 GMT 2025","Mon Mar 17 11:56:09 GMT 2025","4189","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Mon Mar 17 11:55:59 GMT 2025","Mon Mar 17 11:56:02 GMT 2025","3379","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Mon Mar 17 11:55:24 GMT 2025","Mon Mar 17 11:55:27 GMT 2025","3337","tests","test_users","TestUsers","","","Create new user",""
"passed","Mon Mar 17 11:55:35 GMT 2025","Mon Mar 17 11:55:38 GMT 2025","3152","tests","test_users","TestUsers","","","Login under created user",""
"passed","Mon Mar 17 11:54:48 GMT 2025","Mon Mar 17 11:54:51 GMT 2025","2567","tests","test_games","TestGames","","","Get full list of games",""
"passed","Mon Mar 17 11:56:02 GMT 2025","Mon Mar 17 11:56:05 GMT 2025","2781","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Mon Mar 17 11:55:28 GMT 2025","Mon Mar 17 11:55:30 GMT 2025","2387","tests","test_users","TestUsers","","","Delete created user",""
"passed","Mon Mar 17 11:55:39 GMT 2025","Mon Mar 17 11:55:59 GMT 2025","19797","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Mon Mar 17 11:54:51 GMT 2025","Mon Mar 17 11:54:55 GMT 2025","4314","tests","test_games","TestGames","","","Get one game by title",""
"passed","Mon Mar 17 11:55:31 GMT 2025","Mon Mar 17 11:55:34 GMT 2025","3043","tests","test_users","TestUsers","","","Update created user",""
