"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 16:00:07 GMT 2025","Fri Mar 14 16:00:10 GMT 2025","2820","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Fri Mar 14 15:59:39 GMT 2025","Fri Mar 14 15:59:42 GMT 2025","3247","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 15:59:31 GMT 2025","Fri Mar 14 15:59:34 GMT 2025","2257","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 15:58:54 GMT 2025","Fri Mar 14 15:58:59 GMT 2025","5270","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 16:00:10 GMT 2025","Fri Mar 14 16:00:14 GMT 2025","3994","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 16:00:14 GMT 2025","Fri Mar 14 16:00:18 GMT 2025","4519","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Fri Mar 14 15:59:27 GMT 2025","Fri Mar 14 15:59:30 GMT 2025","3256","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 15:59:35 GMT 2025","Fri Mar 14 15:59:38 GMT 2025","3502","tests","test_users","TestUsers","","","Update created user",""
"passed","Fri Mar 14 15:59:43 GMT 2025","Fri Mar 14 16:00:07 GMT 2025","23671","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 15:58:51 GMT 2025","Fri Mar 14 15:58:54 GMT 2025","2776","tests","test_games","TestGames","","","Get full list of games",""
