"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 17 11:04:54 GMT 2025","Mon Mar 17 11:04:54 GMT 2025","641","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"failed","Mon Mar 17 11:04:50 GMT 2025","Mon Mar 17 11:04:50 GMT 2025","0","tests","test_users","TestUsers","","","Delete created user",""
"failed","Mon Mar 17 11:04:51 GMT 2025","Mon Mar 17 11:04:51 GMT 2025","0","tests","test_users","TestUsers","","","Update created user",""
"failed","Mon Mar 17 11:04:52 GMT 2025","Mon Mar 17 11:04:52 GMT 2025","0","tests","test_users","TestUsers","","","Create full list of users",""
"failed","Mon Mar 17 11:04:47 GMT 2025","Mon Mar 17 11:04:48 GMT 2025","1614","tests","test_games","TestGames","","","Get one game by title",""
"failed","Mon Mar 17 11:04:44 GMT 2025","Mon Mar 17 11:04:47 GMT 2025","3235","tests","test_games","TestGames","","","Get full list of games",""
"failed","Mon Mar 17 11:04:48 GMT 2025","Mon Mar 17 11:04:48 GMT 2025","0","tests","test_users","TestUsers","","","Create new user",""
"failed","Mon Mar 17 11:04:51 GMT 2025","Mon Mar 17 11:04:51 GMT 2025","0","tests","test_users","TestUsers","","","Login under created user",""
"failed","Mon Mar 17 11:04:54 GMT 2025","Mon Mar 17 11:04:55 GMT 2025","789","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"failed","Mon Mar 17 11:04:53 GMT 2025","Mon Mar 17 11:04:54 GMT 2025","744","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
