"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 14:37:00 GMT 2025","Fri Mar 14 14:37:03 GMT 2025","2616","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Fri Mar 14 14:36:23 GMT 2025","Fri Mar 14 14:36:26 GMT 2025","2863","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 14:37:03 GMT 2025","Fri Mar 14 14:37:06 GMT 2025","2955","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 14:37:06 GMT 2025","Fri Mar 14 14:37:10 GMT 2025","3998","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Fri Mar 14 14:35:45 GMT 2025","Fri Mar 14 14:35:49 GMT 2025","3169","tests","test_games","TestGames","","","Get full list of games",""
"passed","Fri Mar 14 14:36:34 GMT 2025","Fri Mar 14 14:36:37 GMT 2025","3299","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 14:36:27 GMT 2025","Fri Mar 14 14:36:29 GMT 2025","2548","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 14:36:38 GMT 2025","Fri Mar 14 14:37:00 GMT 2025","22269","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 14:35:49 GMT 2025","Fri Mar 14 14:35:52 GMT 2025","3405","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 14:36:30 GMT 2025","Fri Mar 14 14:36:33 GMT 2025","2896","tests","test_users","TestUsers","","","Update created user",""
