"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 14:27:48 GMT 2025","Fri Mar 14 14:27:52 GMT 2025","4333","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 14:27:45 GMT 2025","Fri Mar 14 14:27:48 GMT 2025","2746","tests","test_games","TestGames","","","Get full list of games",""
"passed","Fri Mar 14 14:28:26 GMT 2025","Fri Mar 14 14:28:28 GMT 2025","2046","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 14:28:38 GMT 2025","Fri Mar 14 14:28:57 GMT 2025","19573","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 14:28:22 GMT 2025","Fri Mar 14 14:28:25 GMT 2025","2935","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 14:28:29 GMT 2025","Fri Mar 14 14:28:32 GMT 2025","2982","tests","test_users","TestUsers","","","Update created user",""
"passed","Fri Mar 14 14:29:00 GMT 2025","Fri Mar 14 14:29:03 GMT 2025","3307","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 14:28:33 GMT 2025","Fri Mar 14 14:28:37 GMT 2025","3912","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 14:28:58 GMT 2025","Fri Mar 14 14:29:00 GMT 2025","2682","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Fri Mar 14 14:29:03 GMT 2025","Fri Mar 14 14:29:07 GMT 2025","3899","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
