"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 17 09:57:26 GMT 2025","Mon Mar 17 09:57:28 GMT 2025","2409","tests","test_games","TestGames","","","Get full list of games",""
"failed","Mon Mar 17 09:57:34 GMT 2025","Mon Mar 17 09:57:34 GMT 2025","0","tests","test_users","TestUsers","","","Create full list of users",""
"failed","Mon Mar 17 09:57:35 GMT 2025","Mon Mar 17 09:57:36 GMT 2025","906","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"failed","Mon Mar 17 09:57:32 GMT 2025","Mon Mar 17 09:57:32 GMT 2025","0","tests","test_users","TestUsers","","","Update created user",""
"failed","Mon Mar 17 09:57:29 GMT 2025","Mon Mar 17 09:57:29 GMT 2025","0","tests","test_users","TestUsers","","","Create new user",""
"failed","Mon Mar 17 09:57:36 GMT 2025","Mon Mar 17 09:57:37 GMT 2025","1127","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"failed","Mon Mar 17 09:57:37 GMT 2025","Mon Mar 17 09:57:38 GMT 2025","921","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"failed","Mon Mar 17 09:57:28 GMT 2025","Mon Mar 17 09:57:29 GMT 2025","929","tests","test_games","TestGames","","","Get one game by title",""
"failed","Mon Mar 17 09:57:33 GMT 2025","Mon Mar 17 09:57:33 GMT 2025","0","tests","test_users","TestUsers","","","Login under created user",""
"failed","Mon Mar 17 09:57:31 GMT 2025","Mon Mar 17 09:57:31 GMT 2025","0","tests","test_users","TestUsers","","","Delete created user",""
