"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 15:04:02 GMT 2025","Fri Mar 14 15:04:06 GMT 2025","3715","tests","test_users","TestUsers","","","Update created user",""
"passed","Fri Mar 14 15:03:21 GMT 2025","Fri Mar 14 15:03:25 GMT 2025","4866","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 15:04:11 GMT 2025","Fri Mar 14 15:04:32 GMT 2025","21304","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 15:04:35 GMT 2025","Fri Mar 14 15:04:38 GMT 2025","3195","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 15:03:54 GMT 2025","Fri Mar 14 15:03:57 GMT 2025","3734","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 15:04:38 GMT 2025","Fri Mar 14 15:04:43 GMT 2025","4374","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Fri Mar 14 15:04:07 GMT 2025","Fri Mar 14 15:04:10 GMT 2025","3219","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 15:04:32 GMT 2025","Fri Mar 14 15:04:35 GMT 2025","2933","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Fri Mar 14 15:03:58 GMT 2025","Fri Mar 14 15:04:01 GMT 2025","2418","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 15:03:14 GMT 2025","Fri Mar 14 15:03:21 GMT 2025","6410","tests","test_games","TestGames","","","Get full list of games",""
