"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 14:54:55 GMT 2025","Fri Mar 14 14:55:17 GMT 2025","21379","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 14:54:03 GMT 2025","Fri Mar 14 14:54:06 GMT 2025","2940","tests","test_games","TestGames","","","Get full list of games",""
"passed","Fri Mar 14 14:54:42 GMT 2025","Fri Mar 14 14:54:45 GMT 2025","2431","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 14:55:19 GMT 2025","Fri Mar 14 14:55:23 GMT 2025","3264","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 14:55:23 GMT 2025","Fri Mar 14 14:55:27 GMT 2025","4315","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Fri Mar 14 14:54:06 GMT 2025","Fri Mar 14 14:54:10 GMT 2025","4242","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 14:54:38 GMT 2025","Fri Mar 14 14:54:41 GMT 2025","3148","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 14:54:46 GMT 2025","Fri Mar 14 14:54:50 GMT 2025","3714","tests","test_users","TestUsers","","","Update created user",""
"passed","Fri Mar 14 14:54:51 GMT 2025","Fri Mar 14 14:54:54 GMT 2025","3397","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 14:55:17 GMT 2025","Fri Mar 14 14:55:19 GMT 2025","2818","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
