"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 15:29:04 GMT 2025","Fri Mar 14 15:29:25 GMT 2025","20960","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 15:28:51 GMT 2025","Fri Mar 14 15:28:54 GMT 2025","2298","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 15:28:47 GMT 2025","Fri Mar 14 15:28:50 GMT 2025","3289","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 15:28:10 GMT 2025","Fri Mar 14 15:28:14 GMT 2025","3451","tests","test_games","TestGames","","","Get full list of games",""
"passed","Fri Mar 14 15:28:59 GMT 2025","Fri Mar 14 15:29:03 GMT 2025","3559","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 15:28:14 GMT 2025","Fri Mar 14 15:28:19 GMT 2025","5260","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 15:28:55 GMT 2025","Fri Mar 14 15:28:58 GMT 2025","3225","tests","test_users","TestUsers","","","Update created user",""
"passed","Fri Mar 14 15:29:27 GMT 2025","Fri Mar 14 15:29:30 GMT 2025","3115","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 15:29:25 GMT 2025","Fri Mar 14 15:29:27 GMT 2025","2743","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Fri Mar 14 15:29:30 GMT 2025","Fri Mar 14 15:29:35 GMT 2025","4776","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
