"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 13 15:07:38 GMT 2025","Thu Mar 13 15:07:41 GMT 2025","3092","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Thu Mar 13 15:07:35 GMT 2025","Thu Mar 13 15:07:38 GMT 2025","2719","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Thu Mar 13 15:07:41 GMT 2025","Thu Mar 13 15:07:45 GMT 2025","4065","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Thu Mar 13 15:07:11 GMT 2025","Thu Mar 13 15:07:15 GMT 2025","3233","tests","test_users","TestUsers","","","Login under created user",""
"passed","Thu Mar 13 15:07:15 GMT 2025","Thu Mar 13 15:07:35 GMT 2025","19781","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Thu Mar 13 15:07:00 GMT 2025","Thu Mar 13 15:07:03 GMT 2025","2903","tests","test_users","TestUsers","","","Create new user",""
"passed","Thu Mar 13 15:06:28 GMT 2025","Thu Mar 13 15:06:33 GMT 2025","4314","tests","test_games","TestGames","","","Get one game by title",""
"passed","Thu Mar 13 15:06:25 GMT 2025","Thu Mar 13 15:06:28 GMT 2025","3191","tests","test_games","TestGames","","","Get full list of games",""
"passed","Thu Mar 13 15:07:04 GMT 2025","Thu Mar 13 15:07:06 GMT 2025","2311","tests","test_users","TestUsers","","","Delete created user",""
"passed","Thu Mar 13 15:07:07 GMT 2025","Thu Mar 13 15:07:10 GMT 2025","3183","tests","test_users","TestUsers","","","Update created user",""
