"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 13 14:53:21 GMT 2025","Thu Mar 13 14:53:24 GMT 2025","2907","tests","test_users","TestUsers","","","Login under created user",""
"passed","Thu Mar 13 14:53:13 GMT 2025","Thu Mar 13 14:53:15 GMT 2025","2538","tests","test_users","TestUsers","","","Delete created user",""
"passed","Thu Mar 13 14:53:46 GMT 2025","Thu Mar 13 14:53:48 GMT 2025","2854","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Thu Mar 13 14:53:51 GMT 2025","Thu Mar 13 14:53:55 GMT 2025","4055","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"passed","Thu Mar 13 14:53:16 GMT 2025","Thu Mar 13 14:53:20 GMT 2025","3667","tests","test_users","TestUsers","","","Update created user",""
"passed","Thu Mar 13 14:52:33 GMT 2025","Thu Mar 13 14:52:36 GMT 2025","2761","tests","test_games","TestGames","","","Get full list of games",""
"passed","Thu Mar 13 14:53:25 GMT 2025","Thu Mar 13 14:53:46 GMT 2025","20812","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Thu Mar 13 14:53:08 GMT 2025","Thu Mar 13 14:53:12 GMT 2025","3245","tests","test_users","TestUsers","","","Create new user",""
"passed","Thu Mar 13 14:53:48 GMT 2025","Thu Mar 13 14:53:51 GMT 2025","2737","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Thu Mar 13 14:52:36 GMT 2025","Thu Mar 13 14:52:39 GMT 2025","3213","tests","test_games","TestGames","","","Get one game by title",""
