"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 14:19:23 GMT 2025","Fri Mar 14 14:19:26 GMT 2025","2667","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"passed","Fri Mar 14 14:19:03 GMT 2025","Fri Mar 14 14:19:20 GMT 2025","17918","tests","test_users","TestUsers","","","Create full list of users",""
"passed","Fri Mar 14 14:18:55 GMT 2025","Fri Mar 14 14:18:58 GMT 2025","3174","tests","test_users","TestUsers","","","Update created user",""
"passed","Fri Mar 14 14:18:17 GMT 2025","Fri Mar 14 14:18:20 GMT 2025","3340","tests","test_games","TestGames","","","Get one game by title",""
"passed","Fri Mar 14 14:18:51 GMT 2025","Fri Mar 14 14:18:54 GMT 2025","2843","tests","test_users","TestUsers","","","Delete created user",""
"passed","Fri Mar 14 14:18:14 GMT 2025","Fri Mar 14 14:18:17 GMT 2025","2483","tests","test_games","TestGames","","","Get full list of games",""
"passed","Fri Mar 14 14:18:46 GMT 2025","Fri Mar 14 14:18:50 GMT 2025","4247","tests","test_users","TestUsers","","","Create new user",""
"passed","Fri Mar 14 14:18:59 GMT 2025","Fri Mar 14 14:19:02 GMT 2025","2889","tests","test_users","TestUsers","","","Login under created user",""
"passed","Fri Mar 14 14:19:20 GMT 2025","Fri Mar 14 14:19:23 GMT 2025","2804","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"passed","Fri Mar 14 14:19:26 GMT 2025","Fri Mar 14 14:19:29 GMT 2025","3474","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
