"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 17 10:01:24 GMT 2025","Mon Mar 17 10:01:25 GMT 2025","1277","tests","test_games","TestGames","","","Get one game by title",""
"failed","Mon Mar 17 10:01:22 GMT 2025","Mon Mar 17 10:01:24 GMT 2025","2041","tests","test_games","TestGames","","","Get full list of games",""
"failed","Mon Mar 17 10:01:31 GMT 2025","Mon Mar 17 10:01:31 GMT 2025","607","tests","test_wishlist","TestWishlist","","","Removing game from User's wishlist",""
"failed","Mon Mar 17 10:01:30 GMT 2025","Mon Mar 17 10:01:31 GMT 2025","842","tests","test_wishlist","TestWishlist","","","Adding game to User's wishlist",""
"failed","Mon Mar 17 10:01:26 GMT 2025","Mon Mar 17 10:01:26 GMT 2025","0","tests","test_users","TestUsers","","","Delete created user",""
"failed","Mon Mar 17 10:01:25 GMT 2025","Mon Mar 17 10:01:25 GMT 2025","0","tests","test_users","TestUsers","","","Create new user",""
"failed","Mon Mar 17 10:01:28 GMT 2025","Mon Mar 17 10:01:28 GMT 2025","0","tests","test_users","TestUsers","","","Login under created user",""
"failed","Mon Mar 17 10:01:29 GMT 2025","Mon Mar 17 10:01:30 GMT 2025","643","tests","test_wishlist","TestWishlist","","","Getting User's wishlist",""
"failed","Mon Mar 17 10:01:29 GMT 2025","Mon Mar 17 10:01:29 GMT 2025","0","tests","test_users","TestUsers","","","Create full list of users",""
"failed","Mon Mar 17 10:01:27 GMT 2025","Mon Mar 17 10:01:27 GMT 2025","0","tests","test_users","TestUsers","","","Update created user",""
